spm_person_no,full_name,sex,dob,national_id,passport,mobile,email,updated_at
P9478840568,Rashid bin Ali Al Mazrouei,M,1969-01-26,NID7306989429,PA39695611,971521608135.0,,2025-10-22T05:51:25.745378
P9399619255,Reem bint Hamad Al Suwaidi,F,1992-03-01,NID3988491857,,971553308021.0,,2025-10-22T05:51:25.745408
P2782695907,Ahmed bin Khalid Al Balushi,M,1962-01-05,NID0109492904,PA90218176,971546941478.0,,2025-10-22T05:51:25.745433
P9415046206,Amna bint Hassan Al Mansoori,F,1997-05-06,NID6592788066,,,,2025-10-22T05:51:25.745448
P8180574477,Rashid bin Sultan Al Falasi,M,2021-03-28,,,,,2025-10-22T05:51:25.745459
P5911477793,Maryam bint Mohammed Al Shamsi,F,1974-07-07,NID6767014715,,971528493107.0,,2025-10-22T05:51:25.745474
P5541033457,Hassan bin Mohammed Al Suwaidi,M,1941-10-11,NID1415325678,,,,2025-10-22T05:51:25.745491
P7854145645,Fatima bint Salem Al Suwaidi,F,1975-10-24,NID2389241412,,,,2025-10-22T05:51:25.745514
P6415680427,Hassan bin Mohammed Al Qasimi,M,2013-05-16,NID6414122535,PA27274846,,,2025-10-22T05:51:25.745532
P5072472886,Hind bint Sultan Al Suwaidi,F,1997-01-12,,,971546807761.0,,2025-10-22T05:51:25.745550
P9027291679,Mohammed bin Saeed Al Mazrouei,M,1966-03-12,NID6764032265,,971524375143.0,,2025-10-22T05:51:25.745567
P8319094966,Maha bint Hamad Al Balushi,F,2010-03-10,NID2707325481,,971552856523.0,,2025-10-22T05:51:25.745581
P1373646912,Amna bint Sultan Al Mazrouei,F,1955-05-21,NID7712332285,,971557477014.0,,2025-10-22T05:51:25.745604
P6217292699,Hamad bin Hassan Al Mazrouei,M,2008-05-18,NID9463710520,PA79212349,,,2025-10-22T05:51:25.745621
P7563395464,Maryam bint Salem Al Ketbi,F,1946-06-27,NID2713100818,,971522725292.0,,2025-10-22T05:51:25.745634
P2633308010,Salem bin Mohammed Al Ketbi,M,2014-09-25,NID7927534477,,971548968678.0,,2025-10-22T05:51:25.745661
P1968702237,Fatima bint Ahmed Al Shamsi,F,1953-02-25,NID1756562247,PA58152375,971546100094.0,,2025-10-22T05:51:25.745689
P5376015269,Rashid bin Khalid Al Balushi,M,2019-09-09,NID3656456882,,971517670947.0,,2025-10-22T05:51:25.745712
P3070633684,Aisha bint Hamad Al Nahyan,F,1998-10-08,NID3013478776,PA04181436,971516175478.0,,2025-10-22T05:51:25.745738
P9875029645,Amna bint Salem Al Qasimi,F,1988-12-23,NID9659991480,,971535393575.0,,2025-10-22T05:51:25.745776
P3051023438,Hessa bint Hassan Al Marri,F,1996-10-08,,,971581128431.0,,2025-10-22T05:51:25.745796
P2909315318,Fatima bint Ahmed Al Marri,F,1971-05-03,NID4934314449,,971532318886.0,,2025-10-22T05:51:25.745830
P1491561750,Ali bin Khalid Al Falasi,M,1949-04-24,NID8334149607,,,,2025-10-22T05:51:25.745845
P0398978848,Mariam bint Hassan Al Nahyan,F,1995-01-06,NID7707491368,PA01072259,,,2025-10-22T05:51:25.745864
P0918403321,Hamad bin Ahmed Al Qasimi,M,2019-09-25,NID6707146069,PA55956603,971552395347.0,,2025-10-22T05:51:25.745881
P2390031221,Latifa bint Mohammed Al Qasimi,F,1965-09-27,NID4631524295,,971518147421.0,,2025-10-22T05:51:25.745895
P9577832277,Hamad bin Hassan Al Balushi,M,1955-05-22,NID5619421856,,971577426989.0,,2025-10-22T05:51:25.745917
P3609243710,Latifa bint Ahmed Al Nahyan,F,1948-10-25,NID1575825523,,971592204989.0,,2025-10-22T05:51:25.745932
P1394893256,Sara bint Saeed Al Maktoum,F,1974-06-20,NID6459419981,PA19926157,,,2025-10-22T05:51:25.745947
P6337772800,Rashid bin Hamad Al Ketbi,M,1971-07-25,NID2675941103,,971503240095.0,,2025-10-22T05:51:25.745963
P0529188129,Ali bin Ali Al Maktoum,M,1988-01-26,NID8919434845,PA88476097,,,2025-10-22T05:51:25.745978
P8407020176,Noura bint Khalid Al Shamsi,F,1995-02-06,,,,,2025-10-22T05:51:25.745990
P7407216842,Nasser bin Rashid Al Nuaimi,M,1954-04-23,NID5698846452,,971591466266.0,,2025-10-22T05:51:25.746005
P9276846575,Hessa bint Hamad Al Maktoum,F,1981-01-26,NID1194799991,,,,2025-10-22T05:51:25.746017
P4543140783,Reem bint Hassan Al Qasimi,F,2000-06-28,,PA09989178,971584584860.0,,2025-10-22T05:51:25.746037
P0041374682,Salem bin Nasser Al Nuaimi,M,2003-07-23,,PA10077935,,,2025-10-22T05:51:25.746050
P8449637014,Noura bint Fahad Al Nuaimi,F,1942-07-21,NID3314954116,,971567650501.0,,2025-10-22T05:51:25.746067
P5358604830,Nasser bin Saeed Al Marri,M,1957-12-12,NID1013363235,,971505785007.0,,2025-10-22T05:51:25.746081
P6532964315,Maha bint Salem Al Ketbi,F,2004-09-02,,,971553665970.0,,2025-10-22T05:51:25.746092
P0968552777,Sara bint Hamad Al Mazrouei,F,1969-01-25,NID2471283262,,,,2025-10-22T05:51:25.746110
P9123835927,Maryam bint Sultan Al Qasimi,F,1950-11-26,NID5504361170,,971586931132.0,,2025-10-22T05:51:25.746125
P2819683822,Rashid bin Khalid Al Shamsi,M,2004-05-11,NID9007239369,,971501155059.0,,2025-10-22T05:51:25.746140
P3788063993,Mariam bint Hamad Al Falasi,F,1994-10-02,NID8991228791,,971545056825.0,,2025-10-22T05:51:25.746157
P3945618302,Saeed bin Sultan Al Falasi,M,1968-07-20,NID5984418015,PA51377899,971599230680.0,,2025-10-22T05:51:25.746176
P3466046289,Mariam bint Hassan Al Maktoum,F,2013-02-27,NID7198447370,,,,2025-10-22T05:51:25.746187
P3599941659,Khalid bin Hamad Al Falasi,M,1976-04-05,NID6873195604,,,,2025-10-22T05:51:25.746205
P3522684791,Hassan bin Fahad Al Nahyan,M,1997-03-20,NID2366202540,,,,2025-10-22T05:51:25.746219
P0944547671,Hessa bint Fahad Al Falasi,F,1967-08-21,NID8043650517,,,,2025-10-22T05:51:25.746230
P1364854020,Khalid bin Nasser Al Mansoori,M,1988-05-23,NID3524663990,,,,2025-10-22T05:51:25.746246
P8757945293,Maryam bint Fahad Al Balushi,F,1955-03-02,,,,,2025-10-22T05:51:25.746257
P8176046366,Hassan bin Salem Al Marri,M,1993-10-06,NID2629938034,,,,2025-10-22T05:51:25.746269
P6285909626,Latifa bint Saeed Al Ketbi,F,1996-10-20,NID9799256529,,971559276916.0,,2025-10-22T05:51:25.746284
P3989562180,Fahad bin Salem Al Balushi,M,2001-12-05,,,,,2025-10-22T05:51:25.746297
P0950832933,Hind bint Salem Al Balushi,F,2010-04-17,NID5999977720,,,,2025-10-22T05:51:25.746313
P2087214840,Salem bin Khalid Al Shamsi,M,1984-08-15,NID2562916887,,,,2025-10-22T05:51:25.746325
P0034751727,Mariam bint Hamad Al Shamsi,F,1946-10-12,NID9579499883,PA60952218,971533149327.0,,2025-10-22T05:51:25.746341
P8908219591,Saeed bin Nasser Al Shamsi,M,2015-04-20,NID6500307660,,,,2025-10-22T05:51:25.746357
P4757579351,Sara bint Saeed Al Nuaimi,F,1980-08-08,NID4553259521,PA44896577,,,2025-10-22T05:51:25.746379
P0848311003,Fahad bin Mohammed Al Falasi,M,1979-07-21,NID7077197442,,,,2025-10-22T05:51:25.746392
P2074881649,Maryam bint Ahmed Al Qasimi,F,2021-09-03,NID2993552060,PA70207379,971502892635.0,,2025-10-22T05:51:25.746408
P4579108111,Maryam bint Ali Al Nahyan,F,1984-05-26,NID1430321128,PA16673970,971522767768.0,,2025-10-22T05:51:25.746427
P1152902680,Sultan bin Saeed Al Mansoori,M,1960-05-25,NID9407526250,PA62754816,971554953086.0,,2025-10-22T05:51:25.746447
P2528804425,Hind bint Sultan Al Maktoum,F,1984-08-07,,,971544001695.0,,2025-10-22T05:51:25.746459
P2457473560,Salem bin Mohammed Al Nuaimi,M,1995-04-20,,,,,2025-10-22T05:51:25.746469
P6311749982,Sara bint Hassan Al Nuaimi,F,2015-05-23,NID0309678086,,,,2025-10-22T05:51:25.746484
P4934872601,Fahad bin Nasser Al Suwaidi,M,2006-12-01,NID2674871376,,971567515825.0,,2025-10-22T05:51:25.746498
P6624074693,Hind bint Khalid Al Nuaimi,F,1976-02-17,NID8177914555,,971597394408.0,,2025-10-22T05:51:25.746511
P4531584781,Amna bint Sultan Al Shamsi,F,1971-10-09,,,971576032908.0,,2025-10-22T05:51:25.746527
